"FullName","Length","CreationTime","LastWriteTime"
"C:\Windows\SysWOW64\en-US\schtasks.exe.mui","76800","5/12/2026 1:36:22 PM","5/12/2026 1:36:22 PM"
"C:\Windows\SysWOW64\en-US\taskschd.dll.mui","7680","4/1/2024 3:06:23 AM","4/1/2024 3:06:23 AM"
"C:\Windows\SysWOW64\en-US\taskschd.msc","145059","4/1/2024 3:06:23 AM","4/1/2024 3:06:23 AM"
"C:\Windows\SysWOW64\GameChatOverlayExt.dll","12800","4/1/2024 2:22:17 AM","4/1/2024 2:22:17 AM"
"C:\Windows\SysWOW64\GameChatTranscription.dll","110592","11/11/2025 12:45:53 PM","11/11/2025 12:45:53 PM"
"C:\Windows\SysWOW64\InstallServiceTasks.dll","388096","6/9/2026 2:01:43 PM","6/9/2026 2:01:43 PM"
"C:\Windows\SysWOW64\schtasks.exe","203776","10/14/2025 10:02:33 PM","10/14/2025 10:02:33 PM"
"C:\Windows\SysWOW64\taskschd.dll","531016","9/11/2025 3:41:04 PM","9/11/2025 3:41:04 PM"
"C:\Windows\SysWOW64\taskschd.msc","145059","4/1/2024 2:22:15 AM","4/1/2024 2:22:15 AM"
"C:\Windows\SysWOW64\TaskSchdPS.dll","33280","4/1/2024 2:22:15 AM","4/1/2024 2:22:15 AM"
"C:\Windows\SysWOW64\WindowsPowerShell\v1.0\Modules\PrintManagement\MSFT_PrinterNfcTagTasks_v1.0.cdxml","3195","4/1/2024 2:22:51 AM","4/1/2024 2:22:51 AM"
"C:\Windows\SysWOW64\WindowsPowerShell\v1.0\Modules\PrintManagement\MSFT_PrinterPortTasks_v1.0.cdxml","6783","4/1/2024 2:22:47 AM","4/1/2024 2:22:47 AM"
"C:\Windows\SysWOW64\WindowsPowerShell\v1.0\Modules\ScheduledTasks\ScheduledTasks.psd1","1893","4/1/2024 2:22:41 AM","4/1/2024 2:22:41 AM"
"C:\Windows\WinSxS\amd64_microsoft.build.tasks.v4.0_b03f5f7f11d50a3a_4.0.15912.0_none_d418ba2cbfc87f3e\Microsoft.Build.Tasks.v4.0.dll","1174432","4/1/2024 2:22:28 AM","4/1/2024 2:22:28 AM"
"C:\Windows\WinSxS\amd64_microsoft.build.tasks.v4.0_b03f5f7f11d50a3a_4.0.15920.100_none_c8f21a04fdd74616\Microsoft.Build.Tasks.v4.0.dll","1174584","2/18/2026 1:07:39 AM","6/18/2025 4:49:07 PM"
"C:\Windows\WinSxS\amd64_microsoft.data.entity.build.tasks_b03f5f7f11d50a3a_4.0.15912.0_none_e9010b44876ffc65\Microsoft.Data.Entity.Build.Tasks.dll","47008","4/1/2024 2:22:28 AM","4/1/2024 2:22:28 AM"
"C:\Windows\WinSxS\amd64_microsoft.data.entity.build.tasks_b03f5f7f11d50a3a_4.0.15920.100_none_ddda6b1cc57ec33d\Microsoft.Data.Entity.Build.Tasks.dll","47136","2/18/2026 1:07:44 AM","6/18/2025 4:49:07 PM"
"C:\Windows\WinSxS\amd64_microsoft.internal.tasks.dataflow_b77a5c561934e089_4.0.15912.0_none_35aba0c865d42727\Microsoft.Internal.Tasks.Dataflow.dll","179104","4/1/2024 2:22:27 AM","4/1/2024 2:22:27 AM"
"C:\Windows\WinSxS\amd64_microsoft.internal.tasks.dataflow_b77a5c561934e089_4.0.15920.100_none_2a8500a0a3e2edff\Microsoft.Internal.Tasks.Dataflow.dll","179232","2/18/2026 1:07:50 AM","6/18/2025 4:49:07 PM"
"C:\Windows\WinSxS\amd64_microsoft-windows-browser-brokers_31bf3856ad364e35_11.0.26100.8328_none_15f18b36bcd3c605\browserexport.exe","159744","4/15/2026 12:53:44 AM","4/15/2026 12:53:44 AM"
"C:\Windows\WinSxS\amd64_microsoft-windows-browser-brokers_31bf3856ad364e35_11.0.26100.8328_none_15f18b36bcd3c605\r\browserexport.exe","6145","4/15/2026 12:53:44 AM","4/15/2026 12:53:44 AM"
"C:\Windows\WinSxS\amd64_microsoft-windows-browser-brokers_31bf3856ad364e35_11.0.26100.8521_none_15dc8ad6bce34a80\browserexport.exe","159744","4/15/2026 12:53:44 AM","4/15/2026 12:53:44 AM"
"C:\Windows\WinSxS\amd64_microsoft-windows-browser-brokers_31bf3856ad364e35_11.0.26100.8521_none_15dc8ad6bce34a80\r\browserexport.exe","6145","4/15/2026 12:53:44 AM","4/15/2026 12:53:44 AM"
